"Assumption","Count","attrMean tendsto of theta tendsto","attrM2 tendsto of theta tendsto","attrSD tendsto of mean m2 tendsto","olsThetaHat tendsto of attr moments","cont mean gLin of bounded","cont m2 gLin of bounded","cont mean gBlockTerm of bounded","cont m2 gBlockTerm of bounded","cont mean blocks gBlockTerm of bounded","cont m2 blocks gBlockTerm of bounded","paper ols gramInv tendsto of design ae","paper ols theta0 eq of normal eq","paper ols normal eq of wellSpecified","theta tendsto of paper ols design ae","subject lln gPop of iid","meanHatZ tendsto ae of score","sdHatZ tendsto ae of score","sdHat fixed m tendsto ae attrSD","totalErr tendsto trainErr fixed m","trainErr tendsto zero","sequential consistency ae","sequential consistency blocks ae","attrMean congr ae","attrM2 congr ae","attrVar congr ae","attrSD congr ae","gLin eq gTotal blocks","paper sd blocks sequential consistency to true target ae","paper ols attr moments of design ae","paper sd blocks sequential consistency to true target ae of paper ols design ae of NoInteractions of randomization","attrVar tendsto of mean m2 tendsto","designMeanZ Zcomp eq attrMean","paper ols attr moments of lln fullrank ae","paper ols lln of design ae","paper ols lln of score assumptions ae","wellSpecified of noInteractions of fullMainEffects"
"ConjointRandomizationStream exists randomization",5,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","❌","❌","✅","❌","❌"
"EvalAttrIID identA",13,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","✅","✅","✅","✅","❌","✅","✅","❌","❌","❌","❌","❌","✅","✅","✅","❌","❌","❌","✅","✅","❌"
"EvalAttrIID indepA",13,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","✅","✅","✅","✅","❌","✅","✅","❌","❌","❌","❌","❌","✅","✅","✅","❌","❌","❌","✅","✅","❌"
"EvalAttrIID measA",13,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","✅","✅","✅","✅","❌","✅","✅","❌","❌","❌","❌","❌","✅","✅","✅","❌","❌","❌","✅","✅","❌"
"EvalAttrLawEqPop identA",6,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","✅","✅","❌","❌","❌","❌","❌","✅","❌","✅","❌","❌","❌","❌","❌","❌"
"EvalAttrLawEqPop indepA",6,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","✅","✅","❌","❌","❌","❌","❌","✅","❌","✅","❌","❌","❌","❌","❌","❌"
"EvalAttrLawEqPop measA",6,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","✅","✅","❌","❌","❌","❌","❌","✅","❌","✅","❌","❌","❌","❌","❌","❌"
"FullMainEffectsTerms",2,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","❌","❌","❌","✅"
"NoInteractions",7,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","✅","✅","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","❌","❌","✅","❌","✅"
"ObservationNoiseAssumptions condMean zero",6,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","❌","❌","✅","✅","❌"
"ObservationNoiseAssumptions noise lln",6,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","❌","❌","✅","✅","❌"
"PaperOLSDesignAssumptions bound fInter",5,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","❌","❌","✅","❌","❌"
"PaperOLSDesignAssumptions bound fMain",5,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","❌","❌","✅","❌","❌"
"PaperOLSDesignAssumptions meas fInter",5,"❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","❌","❌","✅","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","❌","✅","✅","❌","❌","❌","✅","❌","❌"
